,B Cells,Blood Cells,CM1,CM2,CM3,CM4,CM5,EC,EPI,EndoEC,FB,Glial,Macrophage,Pericyte/SMC,T cells
Metap1,0.08069723,0.0082806265,0.05169163,0.06585819,0.05891052,0.18589854,0.116550505,0.05580281,0.27196983,0.11476671,0.08845659,0.11244248,0.08958659,0.039803505,0.10367618
Metap1d,0.01765436,0.022479199,0.59183663,0.7860477,0.6683788,0.0033231704,0.29775265,0.027625948,0.102416806,0.02922416,0.053451553,0.13150096,0.041486572,0.025062066,0.068456866
Metap2,0.19742864,0.3344324,0.546929,0.7414442,0.6351534,1.0634514,0.5289357,0.4914977,1.3195274,0.69176966,0.57865393,0.42246678,0.5838583,0.34616566,0.9934263
Metrn,0.014644174,0.0063734637,0.031498834,0.06911975,0.032568403,0.17257744,0.03042858,0.05342663,0.3494798,0.0687751,0.20638828,0.8038718,0.0963346,0.07887066,0.13562775
Metrnl,0.07152064,0.0432595,0.037063114,0.09957083,0.038280867,0.1849693,0.047428377,0.05978996,1.5062156,0.10460734,0.32893896,0.13062969,1.2061199,0.13142459,0.122451335
Mettl1,0.043707557,0.01507334,0.11327973,0.13913254,0.14970922,0.08514561,0.25658518,0.08071369,0.48076817,0.19044149,0.26849344,0.059340704,0.11798595,0.07029946,0.16148591
Mettl15,0.012273333,0.012454891,0.050015233,0.37399712,0.10638414,0.0032158387,0.22395949,0.015194072,0.05966097,0.03664558,0.03282943,0.046251837,0.016122362,0.029046886,0.016095946
Mettl16,0.099597275,0.0055451514,0.040170226,0.18809621,0.085962094,0.023130316,0.0696676,0.061117183,0.30689257,0.117719136,0.10852586,0.044395138,0.08502248,0.05251371,0.10106024
Mettl17,0.011516293,0.008991947,0.020417832,0.02424706,0.03901112,0.017380213,0.025770057,0.012892489,0.05267827,0.015577321,0.028593022,0.042032067,0.011795097,0.017971557,0.044625774
Mettl2,0.0495197,0.012122587,0.06657358,0.16225702,0.077655695,0.0033887662,0.10693359,0.056731943,0.14696926,0.06859703,0.07759987,0.06373416,0.042140793,0.033772487,0.074694075
Mettl21a,0.01681734,0.005710653,0.015151392,0.019642176,0.018265503,0.011376125,0.03270383,0.01797538,0.18096228,0.061835594,0.11053083,0.042277332,0.034280125,0.03264828,0.031871
Mettl22,0.03393948,0.0051979613,0.05396627,0.09981684,0.069264375,0.18422757,0.06541806,0.022646915,0.0908523,0.035185777,0.033293996,0.04302762,0.037654895,0.016917232,0.04844366
Mettl23,0.07630537,0.017053852,0.14348301,0.335613,0.16705869,0.0961772,0.15731025,0.11540179,0.2211102,0.15228127,0.14808089,0.12377439,0.12420357,0.07475979,0.19000271
Mettl24,0.0066819615,0.003675347,0.13748199,0.23963875,0.18698868,0.0031573467,0.053092174,0.0029695805,0.051072177,0.044324324,0.006755344,0.022636801,0.00077370444,0.0023778176,0.005484482
Mettl25,0.0060246238,0.009229437,0.080062866,0.15976748,0.10557474,0.0025924246,0.07890711,0.016158681,0.040264484,0.033770945,0.023442417,0.024965253,0.018592168,0.009044573,0.015815666
Mettl3,0.023149606,0.0034264792,0.019865954,0.031699598,0.052318867,0.00784411,0.070334755,0.03011904,0.10702768,0.057868265,0.049460597,0.045752704,0.037706885,0.028392024,0.040958844
Mettl5,0.048324168,0.021624945,0.06529224,0.14418025,0.12896907,0.004608684,0.06515789,0.05771143,0.15672776,0.062470667,0.10229412,0.085763484,0.09139499,0.045260467,0.15582922
Mettl6,0.064728454,0.012878555,0.034704395,0.068588,0.0327426,0.059932593,0.07557674,0.054859094,0.1789699,0.09112204,0.0675476,0.17889279,0.13262129,0.029783431,0.14510828
Mettl7a1,0.011339125,0.03250717,0.055298757,0.12406582,0.09400844,0.021389272,0.014525682,0.009649723,0.07676336,0.025970727,0.029940553,0.021095749,0.038891464,0.05723397,0.08010006
